[2022-10-10 19:57:17,987] [asyncio] [DEBUG] : Using selector: EpollSelector
[2022-10-10 20:00:37,935] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:00:37 +0000] "GET /results.js HTTP/1.1" 200 248 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:00:37,935] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:00:37 +0000] "GET /styles.css HTTP/1.1" 200 235 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:00:37,951] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:00:37 +0000] "GET /assets/acc.png HTTP/1.1" 200 238 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:00:37,951] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:00:37 +0000] "GET /assets/lwetb.png HTTP/1.1" 200 239 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:00:37,957] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:00:37 +0000] "GET /favicon.ico HTTP/1.1" 404 173 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:00:37,971] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:00:37 +0000] "GET /api/guesses HTTP/1.1" 404 173 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:00:56,854] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:00:56 +0000] "GET / HTTP/1.1" 304 177 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:00:56,874] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:00:56 +0000] "GET /index.js HTTP/1.1" 404 173 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:00:56,918] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:00:56 +0000] "GET /api/guesses HTTP/1.1" 404 173 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:02:43,486] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:02:43 +0000] "GET / HTTP/1.1" 200 235 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:02:43,514] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:02:43 +0000] "GET /index.js HTTP/1.1" 404 173 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:02:43,516] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:02:43 +0000] "GET /styles.css HTTP/1.1" 200 235 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:02:43,517] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:02:43 +0000] "GET /styles.css HTTP/1.1" 200 235 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:02:43,517] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:02:43 +0000] "GET /results.js HTTP/1.1" 200 248 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:02:43,536] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:02:43 +0000] "GET /assets/acc.png HTTP/1.1" 200 238 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:02:43,536] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:02:43 +0000] "GET /assets/lwetb.png HTTP/1.1" 200 239 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:02:43,541] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:02:43 +0000] "GET /favicon.ico HTTP/1.1" 404 173 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
[2022-10-10 20:02:43,560] [aiohttp.access] [INFO] : 127.0.0.1 [10/Oct/2022:19:02:43 +0000] "GET /api/guesses HTTP/1.1" 404 173 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
